Município;Situação;Âmbito;Valor do Contrato;Contratada;CNPJ da Contratada;Contratante;Ano do Contrato;Descrição da Obra
Aguaí;Em execução  no prazo;MUNICIPAL;3272130,07;FLEX COMERCIO E REPRESENTACAO LTDA;10.350.473/000172;PREFEITURA MUNICIPAL DE AGUAÍ;2023;CONTRATAÇÃO DE PESSOA JURÍDICA ESPECIALIZADA EM IMPLANTAÇÃO DE CICLOVIAS NA AVENIDA PRESIDENTE CASTELO BRANCO E AVENIDA RUI BARBOSA COM FORNECIMENTO DE MATERIAIS MÃO DE OBRA FERRAMENTAS E EQUIPAMENTOS NECESSÁRIOS
Águas de Lindóia;Em execução  no prazo;MUNICIPAL;3054089,41;HB7 CONSTRUTORA E INCORPORADORA LTDA;10.377.852/000156;PREFEITURA MUNICIPAL DE ÁGUAS DE LINDÓIA;2023;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ENGENHARIA VISANDO O FORNECIMENTO DE MATERIAIS E MÃO DE OBRA PARA EXECUÇÃO DO ESPAÇO BOULEVARD NA ÁREA CENTRAL DO MUNICÍPIO COM RECURSOS DO DADE 2022 X PMAL (LOTE 1) E CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ENGENHARIA VISANDO O FORNECIMENTO DE MATERIAIS E MÃO DE OBRA PARA EXECUÇÃO DE REFORMA E REVITALIZAÇÃO DA PRAÇA ADHEMAR DE BARROS  FASE 2  COM RECURSOS DO DADE 2022 X PMAL (LOTE 2) COM FORNECIMENTO DE MATERIAL E MÃO DE OBRA CONFORME PROJETOS MEMORIAIS DESCRITIVOS CRONOGRAMAS E PLANILHAS ORÇAMENTÁRIAS
Águas de Lindóia;Em execução  no prazo;MUNICIPAL;276500;CONSTRUTORA MARIAH & ENGENHARIA LTDA;27.739.027/000157;PREFEITURA MUNICIPAL DE ÁGUAS DE LINDÓIA;2024;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA VISANDO O FORNECIMENTO DE MATERIAIS E MÃO DE OBRA PARA EXECUÇÃO DE REFORMA DO ESTÁDIO MUNICIPAL LEONARDO BARBIERI
Águas de Lindóia;Em execução  no prazo;MUNICIPAL;3054089,41;HB7 CONSTRUTORA E INCORPORADORA LTDA;10.377.852/000156;PREFEITURA MUNICIPAL DE ÁGUAS DE LINDÓIA;2023;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ENGENHARIA VISANDO O FORNECIMENTO DE MATERIAIS E MÃO DE OBRA PARA EXECUÇÃO DO ESPAÇO BOULEVARD NA ÁREA CENTRAL DO MUNICÍPIO COM RECURSOS DO DADE 2022 X PMAL (LOTE 1) E CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ENGENHARIA VISANDO O FORNECIMENTO DE MATERIAIS E MÃO DE OBRA PARA EXECUÇÃO DE REFORMA E REVITALIZAÇÃO DA PRAÇA ADHEMAR DE BARROS  FASE 2  COM RECURSOS DO DADE 2022 X PMAL (LOTE 2) COM FORNECIMENTO DE MATERIAL E MÃO DE OBRA CONFORME PROJETOS MEMORIAIS DESCRITIVOS CRONOGRAMAS E PLANILHAS ORÇAMENTÁRIAS
Águas de Lindóia;Em execução  no prazo;MUNICIPAL;221176;VITTA INCORPORACAO E CONSTRUCAO LTDA;26.239.451/000170;PREFEITURA MUNICIPAL DE ÁGUAS DE LINDÓIA;2018;
Águas de Santa Bárbara;Em execução  no prazo;MUNICIPAL;1047089,73;CONSTRUTORA PORTAL DO VALE LTDA;09.620.399/000188;PREFEITURA MUNICIPAL DE ÁGUAS DE SANTA BÁRBARA;2024;CONTRATAÇÃO DE EMPRESA DE ENGENHARIA OBJETIVANDO A EXECUÇÃO DE OBRAS DE DRENAGEM DE ÁGUAS PLUVIAIS E PAVIMENTAÇÃO EM LAJOTAS DA RUA ABEL JOAQUIM FELIPE NA ESTÂNCIA HIDROMINERAL DE ÁGUAS DE SANTA BÁRBARA ¿ CONTRATO DE REPASSE Nº939753/2022
Águas de Santa Bárbara;Em execução  no prazo;MUNICIPAL;295050,03;CONSTRUTORA PORTAL DO VALE LTDA;09.620.399/000188;PREFEITURA MUNICIPAL DE ÁGUAS DE SANTA BÁRBARA;2024;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE ETAPA 2 DA CONSTRUÇÃO DO MIRANTE NO ALTOS DO VALE  IMPLANTAÇÃO DE ELEVADOR NA ESTÂNCIA HIDROMINERAL DE ÁGUAS DE SANTA BÁRBARA.
Águas de Santa Bárbara;Em execução  no prazo;MUNICIPAL;632566,02;CONSTRUTORA PORTAL DO VALE LTDA;09.620.399/000188;PREFEITURA MUNICIPAL DE ÁGUAS DE SANTA BÁRBARA;2022;CONTRATAÇÃO DE EMPRESA DE ENGENHARIA PARA EXECUÇÃO DE OBRAS DE PAVIMENTAÇÃO EM LAJOTAS DAS RUAS: DAS VERTENTES RUA JOSÉ PAULINO NEGRÃO TRAVESSA DA LUA E RUA DAS FONTES COM RECURSOS DO MINISTÉRIO DO DESENVOLVIMENTO REGIONAL EM CONFORMIDADE COM O CONTRATO DE REPASSE Nº 925674/2021   OPERAÇÃO Nº1082335571/2021
Águas de Santa Bárbara;Em execução  no prazo;MUNICIPAL;1485313,92;CONSTRUTORA PORTAL DO VALE LTDA;09.620.399/000188;PREFEITURA MUNICIPAL DE ÁGUAS DE SANTA BÁRBARA;2022;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE  REMANESCENTE DE OBRA DE REFORMA DA PISCINA MUNICIPAL DO MUNICIPIO DE ÁGUAS DE SANTA BÁRBARA CONVENIO  DADE Nº 146/2019 PROCESSO 038/2018
Águas de Santa Bárbara;Em execução  no prazo;MUNICIPAL;2110240;CONSTRUTORA PORTAL DO VALE LTDA;09.620.399/000188;PREFEITURA MUNICIPAL DE ÁGUAS DE SANTA BÁRBARA;2022;CONTRATAÇÃO DE EMPRESA PARA REALIZAÇÃO DE OBRAS DE PAVIMENTAÇÃO EM LAJOTAS DA RUA BENTA LARA DE MORAES ¿ NA ESTÂNCIA HIDROMINERAL DE ÁGUAS DE SANTA BÁRBARA
Águas de Santa Bárbara;Em execução  no prazo;MUNICIPAL;563565;CONSTRUTORA PORTAL DO VALE LTDA;09.620.399/000188;PREFEITURA MUNICIPAL DE ÁGUAS DE SANTA BÁRBARA;2022;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRA DE PAVIMENTAÇÃO EM LAJOTAS NAS RUAS DAS MANGUEIRAS DAS JABOTICABEIRAS E DAS LARANJEIRAS CONVENIO Nº 101575/2021
Águas de Santa Bárbara;Em execução  no prazo;MUNICIPAL;1463600,83;CONSTRUTORA PORTAL DO VALE LTDA;09.620.399/000188;PREFEITURA MUNICIPAL DE ÁGUAS DE SANTA BÁRBARA;2020;EXECUÇÃO DE OBRAS DE CONSTRUÇÃO DE EQUIPAMENTOS DE LAZER QUADRA POLIESPORTIVA PISCINA NA ESTANCIA HIDROMINERAL DE ÁGUAS DE SANTA BÁRBARA
Águas de Santa Bárbara;Em execução  no prazo;MUNICIPAL;490657,84;CONSTRUTORA PORTAL DO VALE LTDA;09.620.399/000188;PREFEITURA MUNICIPAL DE ÁGUAS DE SANTA BÁRBARA;2020;CONSTRUÇÃO DE MIRANTE NO ALTOS DO VALE ¿ NA ESTÂNCIA HIDROMINERAL DE ÁGUAS DE SANTA BÁRBARA
Águas de Santa Bárbara;Em execução  no prazo;MUNICIPAL;150000;CONSTRUTORA ROCHA ENGENHARIA LTDA;11.034.894/000157;PREFEITURA MUNICIPAL DE ÁGUAS DE SANTA BÁRBARA;2018;EXECUÇÃO DE OBRAS DE REFORMA DA CRECHE MUNICIPAL NA ESTÂNCIA HIDROMINERAL DE ÁGUAS DE SANTA BÁRBARA
Águas de São Pedro;Em execução  no prazo;MUNICIPAL;155948,19;PROJECON PROJETOS E CONSTRUCAO CIVIL PIRACICABA LTDA;00.167.424/000145;PREFEITURA MUNICIPAL DE ÁGUAS DE SÃO PEDRO;2021;CONTRATAÇÃO DE EMPRESA COM PREÇO GLOBAL PARA EXECUÇÃO DOS SERVIÇOS DE PAVIMENTAÇÃO E EXECUÇÃO DE DRENO NA RUA DAS ROSAS PAVIMENTAÇÃO DE CALÇADAS COM RAMPAS DE ACESSIBILIDADE EM PROPRIOS MUNICIPAIS.
Águas de São Pedro;Em execução  no prazo;MUNICIPAL;315515,03;CONSTRUTORA QUALITY LTDA;11.114.669/000120;PREFEITURA MUNICIPAL DE ÁGUAS DE SÃO PEDRO;2020;REFORMA DO PRONTO ATENDIMENTO
Águas de São Pedro;Em execução  no prazo;MUNICIPAL;369482,5;E. TORRES ARCOVERDE CONSTRUCOES LTDA;26.711.156/000174;PREFEITURA MUNICIPAL DE ÁGUAS DE SÃO PEDRO;2020;AMPLIAÇÃO E REFORMA DA EMEF MARIA LUIZA FORNASIER FRANZIN.
Águas de São Pedro;Em execução  no prazo;MUNICIPAL;107731,07;JUSTA CONSTRUTORA LTDA;14.954.601/000148;PREFEITURA MUNICIPAL DE ÁGUAS DE SÃO PEDRO;2018;CONTRATAÇÃO DE EMPRESA PARA A REALIZAÇÃO DE MANUTENÇÃO E AMPLIAÇÃO DE PRÓPRIOS MUNICIPAIS DA SECRETARIA DE EDUCAÇÃO
Agudos;Em execução  no prazo;MUNICIPAL;32969,09;PATRIUM OBRAS E SERVICOS LTDA;40.144.942/000168;CÂMARA MUNICIPAL DE AGUDOS;2023;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE MATERIAL E MÃO DE OBRA PARA A CONSTRUÇÃO DE MURO DE DIVISA PISO EM CONCRETO E IMPERMEABILIZAÇÃO NAS DEPENDÊNCIAS DO PRÉDIO DA CÂMARA MUNICIPAL DE AGUDOSSP CONFORME ESPECIFICAÇÕES CONTIDAS NO MEMORIAL DESCRITIVO CRONOGRAMA FÍSICOFINANCEIRO E PLANILHA ORÇAMENTÁRIA.
Agudos;Em execução  no prazo;MUNICIPAL;29000;TIAGO MANOEL BUENO 34709984859;19.278.341/000151;CÂMARA MUNICIPAL DE AGUDOS;2018;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE SERVIÇOS DE REFORMA E AMPLIAÇÃO DE SALAS NO PISO SUPERIOR DA SEDE DA CÂMARA MUNICIPAL DE AGUDOS NOS TERMOS DO PROJETO EXECUTIVO MEMORIAL DESCRITIVO PLANILHA ORÇAMENTÁRIA E CRONOGRAMA FÍSICO FINANCEIRO EM ANEXO INCLUINDO FORNECIMENTO DE MATERIAIS MÃO DE OBRA E EQUIPAMENTOS NECESSÁRIOS.
Agudos;Paralisada;MUNICIPAL;478045,1;PIOTTO & PIOTTO ARQUITETURA E CONSTRUCAO LTDA.;39.349.483/000170;PREFEITURA MUNICIPAL DE AGUDOS;2024;
Agudos;Paralisada;MUNICIPAL;247250,03;PIOTTO & PIOTTO ARQUITETURA E CONSTRUCAO LTDA.;39.349.483/000170;PREFEITURA MUNICIPAL DE AGUDOS;2024;
Agudos;Paralisada;MUNICIPAL;285500;PIOTTO & PIOTTO ARQUITETURA E CONSTRUCAO LTDA.;39.349.483/000170;PREFEITURA MUNICIPAL DE AGUDOS;2024;
Agudos;Paralisada;MUNICIPAL;181300;PIOTTO & PIOTTO ARQUITETURA E CONSTRUCAO LTDA.;39.349.483/000170;PREFEITURA MUNICIPAL DE AGUDOS;2024;
Agudos;Paralisada;MUNICIPAL;251000;H. AIDAR PAVIMENTACAO E OBRAS LIMITADA;44.991.685/000150;PREFEITURA MUNICIPAL DE AGUDOS;2024;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE MATERIAIS DE 1ª LINHA E MÃO DE OBRA NECESSÁRIOS PARA EXECUÇÃO DE RECAPEAMENTO ASFÁLTICO EM RUAS DO BAIRRO SANTA ANGELINA NO MUNICÍPIO DE AGUDOS/SP. CONFORME ESPECIFICAÇÕES TÉCNICAS CONTIDAS NO PROJETO BÁSICO E/OU EXECUTIVO COM TODAS AS SUAS PARTES DESENHOS E ESPECIFICAÇÕES CONSTANTES DO ANEXO I  TERMO DE REFERÊNCIA. MENOR PREÇO GLOBAL
Agudos;Paralisada;MUNICIPAL;4225000;IAZ BARBOSA CONSTRUTORA LTDA;07.488.114/000171;PREFEITURA MUNICIPAL DE AGUDOS;2024;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO RECAPEAMENTO ASFÁLTICO EM RUAS DOS BAIRROS MÁRIO CAMPESATO JARDIM CRUZEIRO VILA HONORINA JARDIM MÁRCIA JARDIM SANTO ANTÔNIO E RUA JOSÉ MAESTRO BENICASA NO MUNICÍPIO DE AGUDOS/SP CONFORME ESPECIFICAÇÕES TÉCNICAS CONTIDAS NO PROJETO BÁSICO E/OU EXECUTIVO COM TODAS AS SUAS PARTES DESENHOS E ESPECIFICAÇÕES CONSTANTES DO ANEXO I  TERMO DE REFERÊNCIA. MENOR PREÇO GLOBAL
Agudos;Paralisada;MUNICIPAL;349700;FIPE ENGENHARIA LTDA;44.611.478/000123;PREFEITURA MUNICIPAL DE AGUDOS;2023;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA O FORNECIMENTO DE MATERIAIS MÃO DE OBRA E EQUIPAMENTOS NECESSÁRIOS PARA A EXECUÇÃO DA REFORMA DO ESTÁDIO MUNICIPAL ANTÔNIO MAURY DA SILVA TROCA DO GRAMADO INSTALAÇÃO DE IRRIGAÇÃO E CAIXA D'AGUA. SITUADO NA AVENIDA RICHARD FREUDENBERG VILA AVATTO NO MUNICÍPIO DE AGUDOSSP CONFORME AS ESPECIFICAÇÕES TÉCNICAS CONTIDAS NO PROJETO BÁSICO E/OU EXECUTIVO COM TODAS AS SUAS PARTES DESENHOS  ESPECIFICAÇÕES E OUTROS COMPLEMENTOS E CONFORMIDADE COM O CONVÊNIO NGAP SESP Nº 167/2021
Agudos;Paralisada;MUNICIPAL;644172,23;BEATRIZ BROSCO ARQUITETURA;45.078.279/000164;PREFEITURA MUNICIPAL DE AGUDOS;2023;DO OBJETO A PRESENTE LICITAÇÃO TEM COMO OBJETO A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA CONSTRUÇÃO DA PRAÇA DO TURISTA PARA LAZER E CONVÍVIO DOS MUNÍCIPES E TURISTAS COM O FORNECIMENTO DE MÃO DE OBRA MATERIAIS E EQUIPAMENTOS NECESSÁRIOS À COMPLETA E PERFEITA IMPLANTAÇÃO DE TODOS OS ELEMENTOS DEFINIDOS NO PROJETO EXECUTIVO E MEMORIAL DESCRITIVO EM CONFORMIDADE COM O CONVÊNIO 000283/2022 CONFORME DESCRITO NESTE EDITAL E SEUS ANEXOS QUE SERÁ PROCESSADO E JULGADO EM CONFORMIDADE COM A LEI FEDERAL Nº 8.666/93 E POSTERIORES ALTERAÇÕES LEI FEDERAL Nº 123/06 MODIFICADA PELA LEI  Nº147/2014 E DEMAIS NORMAS JURÍDICAS QUE REGEM A MATÉRIA.
Agudos;Paralisada;MUNICIPAL;749326,89;HIDROAR CONSTRUCAO E SERVICOS LTDA;56.538.564/000137;PREFEITURA MUNICIPAL DE AGUDOS;2023;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA: AMPLIAÇÃO DA COBERTURA DO PÁTIO DA ANTIGA ESTAÇÃO FERROVIÁRIA SOROCABANA NA PRAÇA DO COMTUR PARA A REVITALIZAÇÃO E ACESSIBILIDADE NO MUNICÍPIO DE AGUDOS  SP DE ACORDO COM O CONVÊNIO MIT Nº 197/2021
Agudos;Paralisada;MUNICIPAL;1128883,24;PANICO MATERIAIS E CONSTRUCOES ME LTDA;15.600.608/000124;PREFEITURA MUNICIPAL DE AGUDOS;2022;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE MATERIAL MÃO DE OBRA PARA ACONSTRUÇÃO DO ESPAÇO SAÚDE PARA RESTRUTURAÇÃO FÍSICA DA SECRETARIA DE SAÚDE VISANDO UMATENDIMENTO MAIS ACOLHEDOR HUMANIZADO E QUALIFICADO AOS MUNICÍPIOS DE NOSSA CIDADE BEMCOMO OFERECER UMA ESTRUTURA ADEQUADA E SEGURA AOS FUNCIONÁRIOS COM O FORNECIMENTO DE MÃODE OBRA MATERIAIS E EQUIPAMENTOS NECESSÁRIOS À COMPLETA E PERFEITA IMPLANTAÇÃO DE TODOS OSELEMENTOS DEFINIDOS NO PROJETO EXECUTIVO E MEMORIAL DESCRITIVO E SEUS ANEXOS E EMCONFORMIDADE COM O CONVÊNIO ESTADUAL 101246/2022 CELEBRADO COM A SECRETARIA DEDESENVOLVIMENTO REGIONAL DO ESTADO DE SÃO PAULO.
Alambari;Em execução  no prazo;MUNICIPAL;189999,99;LIMAX CONSTRUTORA LTDA;27.085.203/000184;PREFEITURA MUNICIPAL DE ALAMBARI;2024;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA AMPLIAÇÃO DA CRECHE EMEI "GABRIEL BRICOLA MATHEUS" LOCALIZADA NA RUA IDIARTE MACIEL CENTRO DE ALAMBARI/SP INCLUINDO O FORNECIMENTO DE MATERIAL EQUIPAMENTOS E MÃO DE OBRA.
Alambari;Em execução  no prazo;MUNICIPAL;581718,88;MARIA GABRIELA PEREIRA SANTOS;17.452.217/000135;PREFEITURA MUNICIPAL DE ALAMBARI;2023;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA EXECUCAO DE PAVIMENTACAO EM LAJOTA NAS RUAS JASMIM LIRIO E BENEDITA DAS DORES CARVALHO INCLUINDO O FORNECIMENTO DE MATERIAL EQUIPAMENTOS E MAO DE OBRA
Alambari;Em execução  no prazo;MUNICIPAL;111311,55;DCA ENGENHARIA E CONSTRUCOES LTDA;14.634.377/000107;PREFEITURA MUNICIPAL DE ALAMBARI;2020;EXECUCAO DE SERVICOS DE INSTALACAO DE ESQUADRIAS FORROS DIVISORIAS DE GESSO ILUMINACAO EM LED E PINTURA NO PREDIO DO CRAS JORGINA MARIA MACHADO INCLUINDO O FORNECIMENTO DE MATERIAL EQUIPAMENTOS E MAO DE OBRA.
Alfredo Marcondes;Em execução  no prazo;MUNICIPAL;85336,96;CONSTRUTEC SR LTDA;04.822.506/000137;PREFEITURA MUNICIPAL DE ALFREDO MARCONDES;2018;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE ENGENHARIA CIVIL PARA EXECUÇÃO DE OBRAS DE AMPLIAÇÃO E REFORMA DE PRÉDIOS PÚBLICOS
Altair;Em execução  no prazo;MUNICIPAL;163585,7;DECK CONSTRUTORA LTDA;36.607.945/000113;PREFEITURA MUNICIPAL DE ALTAIR/SP;2020;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE ENGENHARIA PARA REFORMA E AMPLIAÇÃO DA UNIDADE BÁSICA DE SAÚDE NO DISTRITO DE SUINANA SOB O REGIME DE EMPREITADA POR PREÇO GLOBAL CONFORME PROJETOS MEMORIAL DESCRITIVO PLANILHA ORÇAMENTÁRIA CRONOGRAMA FÍSICO E DEMAIS ESPECIFICAÇÕES E DETALHAMENTOS QUE SÃO PARTES INTEGRANTES DO EDITAL.
Altair;Em execução  no prazo;MUNICIPAL;873178,98;GEOVANA F. M. DOS SANTOS METALURGICA LTDA;30.083.488/000129;PREFEITURA MUNICIPAL DE ALTAIR/SP;2020;CONSTRUÇÃO DE UM UNIDADE ESCOLAR INFANTIL E UMA QUADRA POLIESPORTIVA COBERTA SOB REGIME DE EMPREITADA POR PREÇO GLOBAL CONFORME PROJETO PLANILHA CRONOGRAMA E MEMORIAL DESCRITIVO.
